       sample #	    ECG
              0	    -46
              1	    -21
              2	      0
              3	      0
              4	     12
              5	     18
              6	      5
              7	     20
              8	     27
              9	    112
             10	    146
             11	     57
             12	   -172
             13	   -560
             14	   -390
             15	   -280
             16	   -108
             17	      5
             18	    -12
             19	     19
             20	      2
             21	     14
             22	     -3
             23	     14
             24	     -3
             25	     -1
             26	     -6
             27	      2
             28	    -13
             29	      8
             30	      7
             31	     11
             32	      3
             33	     18
             34	     16
             35	     22
             36	      9
             37	     10
             38	     -9
             39	      1
             40	    -17
             41	    -57
             42	    -97
             43	   -181
             44	   -130
             45	   -103
             46	    -64
             47	    -50
             48	    404
             49	    277
             50	    -32
             51	   -119
             52	    -16
             53	    -38
             54	     20
             55	     46
             56	    100
             57	    359
             58	    153
             59	    172
             60	    125
             61	    110
             62	     47
             63	     91
             64	    193
             65	    181
             66	    148
             67	    118
             68	     48
             69	    112
             70	     34
             71	     24
             72	    -38
             73	    -23
             74	     66
             75	    109
             76	     76
             77	    -17
             78	    -91
             79	    -65
             80	   -103
             81	   -174
             82	   -168
             83	   -248
             84	   -225
             85	   -219
             86	   -177
             87	   -188
             88	   -164
             89	   -180
             90	   -176
             91	   -219
             92	   -206
             93	   -227
             94	   -239
             95	   -271
             96	   -277
             97	   -304
             98	   -343
             99	   -375
            100	   -419
            101	   -453
            102	   -508
            103	   -578
            104	   -632
            105	   -684
            106	   -760
            107	   -816
            108	   -894
            109	   -917
            110	   -988
            111	  -1093
            112	  -1171
            113	  -1235
            114	  -1326
            115	  -1386
            116	  -1504
            117	  -1538
            118	  -1598
            119	  -1637
            120	  -1723
            121	  -1781
            122	  -1826
            123	  -1846
            124	  -1914
            125	  -1906
            126	  -1958
            127	  -1949
            128	  -1977
            129	  -1920
            130	  -1935
            131	  -1870
            132	  -1848
            133	  -1730
            134	  -1687
            135	  -1571
            136	  -1461
            137	  -1285
            138	  -1152
            139	   -926
            140	   -717
            141	   -431
            142	   -217
            143	    113
            144	    389
            145	    760
            146	   1052
            147	   1465
            148	   1840
            149	  -1738
            150	  -1320
            151	   -746
            152	   -256
            153	  -1976
            154	   1973
            155	  -1970
            156	   1966
            157	  -1962
            158	   1958
            159	  -1954
            160	   1949
            161	  -1945
            162	   1940
            163	  -1935
            164	   1930
            165	  -1925
            166	   1920
            167	  -1915
            168	   1910
            169	  -1905
            170	   1900
            171	  -1896
            172	   1892
            173	  -1888
            174	   1884
            175	  -1881
            176	   1877
            177	  -1875
            178	   1873
            179	  -1871
            180	   1870
            181	  -1870
            182	   1870
            183	  -1871
            184	   1872
            185	  -1605
            186	   1877
            187	    336
            188	   1887
            189	  -1889
            190	   -494
            191	  -1901
            192	    924
            193	  -1915
            194	   1923
            195	  -1931
            196	   1940
            197	  -1950
            198	   1960
            199	  -1969
            200	   1980
            201	  -1990
            202	   2001
            203	  -2012
            204	   2023
            205	  -2034
            206	   2045
            207	   2040
            208	  -2029
            209	   2019
            210	  -2010
            211	   2000
            212	  -1991
            213	   1983
            214	  -1975
            215	   1967
            216	  -1960
            217	   1954
            218	  -1948
            219	   1943
            220	  -1939
            221	   1935
            222	  -1932
            223	   1929
            224	  -1928
            225	   1926
            226	  -1926
            227	   1926
            228	  -1926
            229	   1927
            230	  -1929
            231	   1931
            232	  -1934
            233	   1936
            234	  -1940
            235	   1943
            236	  -1947
            237	   1950
            238	  -1954
            239	   1958
            240	  -1962
            241	   1966
            242	  -1971
            243	   1975
            244	  -1979
            245	   1982
            246	  -1986
            247	   1989
            248	  -1993
            249	   1996
            250	  -1999
            251	   2001
            252	  -2004
            253	   2006
            254	  -2007
            255	   2009
            256	  -2010
            257	   2011
            258	  -2012
            259	   2012
            260	  -2013
            261	   2013
            262	  -2013
            263	   2013
            264	  -2012
            265	   -406
            266	   -717
            267	  -1142
            268	  -1390
            269	  -1761
            270	  -1951
            271	   1824
            272	   1688
            273	   1414
            274	   1329
            275	   1098
            276	   1061
            277	    871
            278	    878
            279	    728
            280	    777
            281	    665
            282	    753
            283	    681
            284	    807
            285	    774
            286	    937
            287	    945
            288	   1145
            289	   1196
            290	   1434
            291	   1533
            292	   1810
            293	   1961
            294	  -1814
            295	  -1607
            296	  -1241
            297	   -971
            298	   -553
            299	   -215
            300	  -2024
            301	   2026
            302	  -2028
            303	   2030
            304	  -2032
            305	   2034
            306	  -2037
            307	   2039
            308	  -2042
            309	   2044
            310	  -2046
            311	  -2047
            312	   2044
            313	  -2042
            314	   2039
            315	  -2037
            316	   2035
            317	  -2033
            318	   2030
            319	  -2028
            320	   2026
            321	  -2024
            322	   2022
            323	  -2020
            324	   2018
            325	  -2016
            326	   2014
            327	  -2013
            328	   2011
            329	  -2010
            330	   2008
            331	  -2007
            332	   2006
            333	  -2005
            334	   2003
            335	  -2003
            336	   2002
            337	  -2001
            338	   2001
            339	  -2001
            340	   2000
            341	  -2000
            342	   2000
            343	  -2001
            344	   2001
            345	  -2001
            346	   2002
            347	  -2002
            348	   2003
            349	  -2004
            350	   2005
            351	  -2006
            352	   2007
            353	  -2009
            354	   2010
            355	  -2011
            356	   2013
            357	  -2014
            358	   2016
            359	  -2017
            360	   2019
            361	  -2020
            362	   2022
            363	  -2023
            364	   2025
            365	  -2027
            366	   2028
            367	  -2030
            368	   2031
            369	  -2032
            370	   2034
            371	  -2035
            372	   2036
            373	  -2037
            374	   2039
            375	  -2039
            376	   2041
            377	  -2041
            378	   2042
            379	  -2043
            380	   2044
            381	  -2044
            382	   2045
            383	  -2045
            384	   2046
            385	  -2046
            386	   2046
            387	  -2047
            388	   2047
            389	  -2047
            390	  -2047
            391	   2047
            392	  -2047
            393	   2047
            394	  -2046
            395	   2046
            396	  -2045
            397	   2045
            398	  -2044
            399	   2044
            400	  -2043
            401	   2043
            402	  -2042
            403	   2041
            404	  -2040
            405	   2039
            406	  -2038
            407	   2037
            408	  -2036
            409	   2035
            410	  -2033
            411	   2032
            412	  -2030
            413	   2029
            414	  -2027
            415	   2026
            416	  -2024
            417	   2023
            418	  -2021
            419	   2019
            420	  -2018
            421	   2016
            422	  -2015
            423	   2013
            424	  -2012
            425	   2011
            426	  -2009
            427	   2008
            428	  -2007
            429	   2006
            430	  -2005
            431	   2004
            432	  -2003
            433	   2003
            434	  -2002
            435	   2002
            436	  -2002
            437	   2002
            438	  -2003
            439	   2003
            440	  -2003
            441	   2004
            442	  -2005
            443	   2006
            444	  -2007
            445	   2009
            446	  -2010
            447	   2012
            448	  -2014
            449	   2015
            450	  -2017
            451	   2019
            452	  -2021
            453	   2024
            454	  -2026
            455	   2028
            456	  -2030
            457	   2032
            458	  -2035
