       sample #	     V5
              0	    994
              1	    994
              2	    994
              3	    994
              4	    994
              5	    994
              6	    994
              7	    994
              8	    995
              9	    997
             10	   1002
             11	   1008
             12	   1016
             13	   1024
             14	   1049
             15	   1121
             16	   1209
             17	   1221
             18	   1149
             19	   1074
             20	   1043
             21	   1044
             22	   1048
             23	   1046
             24	   1040
             25	   1034
             26	   1032
             27	   1031
             28	   1033
             29	   1036
             30	   1036
             31	   1033
             32	   1027
             33	   1026
             34	   1024
             35	   1024
             36	   1020
             37	   1017
             38	   1011
             39	   1009
             40	   1002
             41	    995
             42	    988
             43	    979
             44	    970
             45	    962
             46	    948
             47	    933
             48	    922
             49	    911
             50	    900
             51	    891
             52	    883
             53	    874
             54	    866
             55	    858
             56	    852
             57	    848
             58	    847
             59	    844
             60	    844
             61	    845
             62	    847
             63	    850
             64	    853
             65	    855
             66	    859
             67	    860
             68	    864
             69	    870
             70	    880
             71	    893
             72	    902
             73	    908
             74	    914
             75	    926
             76	    935
             77	    948
             78	    955
             79	    962
             80	    964
             81	    970
             82	    977
             83	    979
             84	    981
             85	    980
             86	    979
             87	    980
             88	    982
             89	    984
             90	    988
             91	    986
             92	    983
             93	    983
             94	    982
             95	    983
             96	    984
             97	    984
             98	    986
             99	    989
            100	    991
            101	    998
            102	    995
            103	    999
            104	    998
            105	   1001
            106	   1005
            107	   1007
            108	   1008
            109	   1008
            110	   1007
            111	   1009
            112	   1011
            113	   1014
            114	   1015
            115	   1014
            116	   1014
            117	   1015
            118	   1017
            119	   1021
            120	   1020
            121	   1017
            122	   1019
            123	   1018
            124	   1022
            125	   1022
            126	   1025
            127	   1023
            128	   1023
            129	   1023
            130	   1026
            131	   1028
            132	   1029
            133	   1028
            134	   1027
            135	   1028
            136	   1031
            137	   1034
            138	   1032
            139	   1033
            140	   1032
            141	   1031
            142	   1035
            143	   1037
            144	   1036
            145	   1035
            146	   1035
            147	   1037
            148	   1040
            149	   1038
            150	   1042
            151	   1040
            152	   1038
            153	   1039
            154	   1041
            155	   1044
            156	   1043
            157	   1042
            158	   1040
            159	   1040
            160	   1043
            161	   1043
            162	   1042
            163	   1042
            164	   1042
            165	   1042
            166	   1039
            167	   1041
            168	   1045
            169	   1040
            170	   1037
            171	   1037
            172	   1038
            173	   1039
            174	   1037
            175	   1035
            176	   1031
            177	   1031
            178	   1031
            179	   1031
            180	   1029
            181	   1026
            182	   1024
            183	   1020
            184	   1022
            185	   1021
            186	   1020
            187	   1014
            188	   1012
            189	   1012
            190	   1011
            191	   1011
            192	   1008
            193	   1005
            194	   1004
            195	   1005
            196	   1004
            197	   1006
            198	   1004
            199	   1002
            200	    997
            201	    997
            202	    999
            203	   1000
            204	   1001
            205	    997
            206	    994
            207	    995
            208	    995
            209	    997
            210	    997
            211	    995
            212	    993
            213	    994
            214	    996
            215	    996
            216	    995
            217	    994
            218	    994
            219	    990
            220	    993
            221	    995
            222	    997
            223	    994
            224	    992
            225	    993
            226	    992
            227	    997
            228	    995
            229	    994
            230	    991
            231	    993
            232	    996
            233	    997
            234	    993
            235	    994
            236	    991
            237	    991
            238	    992
            239	    994
            240	    994
            241	    994
            242	    994
            243	    989
            244	    991
            245	    993
            246	    992
            247	    990
            248	    989
            249	    987
            250	    992
            251	    992
            252	    991
            253	    988
            254	    986
            255	    985
            256	    988
            257	    988
            258	    987
            259	    985
            260	    982
            261	    983
            262	    984
            263	    984
            264	    983
            265	    980
            266	    976
            267	    978
            268	    980
            269	    981
            270	    979
            271	    979
            272	    975
            273	    977
            274	    978
            275	    981
            276	    981
            277	    977
            278	    975
            279	    977
            280	    978
            281	    979
            282	    977
            283	    974
            284	    972
            285	    974
            286	    975
            287	    978
            288	    975
            289	    974
            290	    974
            291	    973
            292	    974
            293	    975
            294	    972
            295	    974
            296	    968
            297	    972
            298	    973
            299	    973
            300	    973
            301	    974
            302	    970
            303	    972
            304	    973
            305	    976
            306	    977
            307	    978
            308	    982
            309	    983
            310	    997
            311	   1016
            312	   1065
            313	   1150
            314	   1193
            315	   1150
            316	   1076
            317	   1036
            318	   1033
            319	   1034
            320	   1030
            321	   1025
            322	   1022
            323	   1016
            324	   1017
            325	   1016
            326	   1014
            327	   1015
            328	   1012
            329	   1013
            330	   1010
            331	   1006
            332	   1001
            333	   1000
            334	    998
            335	    997
            336	    990
            337	    980
            338	    971
            339	    964
            340	    958
            341	    954
            342	    944
            343	    931
            344	    911
            345	    898
            346	    890
            347	    882
            348	    874
            349	    862
            350	    850
            351	    843
            352	    840
            353	    839
            354	    838
            355	    837
            356	    835
            357	    837
            358	    841
            359	    843
            360	    845
            361	    843
            362	    842
            363	    848
            364	    851
            365	    856
            366	    864
            367	    874
            368	    883
            369	    892
            370	    902
            371	    911
            372	    920
            373	    928
            374	    933
            375	    943
            376	    947
            377	    954
            378	    958
            379	    959
            380	    959
            381	    960
            382	    965
            383	    967
            384	    969
            385	    971
            386	    972
            387	    973
            388	    972
            389	    970
            390	    972
            391	    971
            392	    971
            393	    971
            394	    975
            395	    978
            396	    984
            397	    984
            398	    984
            399	    987
            400	    989
            401	    993
            402	    992
            403	    995
            404	    994
            405	    995
            406	    997
            407	    998
            408	    999
            409	    999
            410	    997
            411	    999
            412	   1000
            413	   1003
            414	   1003
            415	   1002
            416	   1001
            417	   1002
            418	   1005
            419	   1006
            420	   1006
            421	   1006
            422	   1005
            423	   1004
            424	   1007
            425	   1011
            426	   1010
            427	   1005
            428	   1008
            429	   1007
            430	   1008
            431	   1012
            432	   1014
            433	   1010
            434	   1010
            435	   1010
            436	   1012
            437	   1015
            438	   1013
            439	   1013
            440	   1013
            441	   1014
            442	   1015
            443	   1019
            444	   1018
            445	   1018
            446	   1014
            447	   1016
            448	   1018
            449	   1023
            450	   1024
            451	   1023
            452	   1020
            453	   1021
            454	   1024
            455	   1026
            456	   1025
            457	   1026
            458	   1024
            459	   1023
            460	   1027
            461	   1027
            462	   1027
            463	   1025
            464	   1024
            465	   1023
            466	   1023
            467	   1025
            468	   1024
            469	   1021
            470	   1018
            471	   1017
            472	   1017
            473	   1017
            474	   1016
            475	   1012
            476	   1008
            477	   1008
            478	   1008
            479	   1009
            480	   1006
            481	   1004
            482	   1000
            483	   1000
            484	   1001
            485	   1001
            486	    999
            487	    995
            488	    992
            489	    992
            490	    994
            491	    992
            492	    993
            493	    990
            494	    989
            495	    989
            496	    988
            497	    989
            498	    989
            499	    987
            500	    984
            501	    982
            502	    986
            503	    986
            504	    986
            505	    985
            506	    981
            507	    981
            508	    984
            509	    985
            510	    983
            511	    980
            512	    977
            513	    980
            514	    981
            515	    983
            516	    982
            517	    979
            518	    977
            519	    976
            520	    978
            521	    979
            522	    978
            523	    975
            524	    977
            525	    975
            526	    977
            527	    977
            528	    978
            529	    976
            530	    972
            531	    972
            532	    972
            533	    974
            534	    971
            535	    970
            536	    968
            537	    971
            538	    972
            539	    973
            540	    971
            541	    969
            542	    967
            543	    967
            544	    969
            545	    971
            546	    970
            547	    969
            548	    966
            549	    967
            550	    966
            551	    969
            552	    970
            553	    967
            554	    962
            555	    963
            556	    962
            557	    965
            558	    965
            559	    965
            560	    962
            561	    963
            562	    964
            563	    965
            564	    964
            565	    961
            566	    960
            567	    962
            568	    963
            569	    963
            570	    961
            571	    960
            572	    957
            573	    959
            574	    961
            575	    961
            576	    963
            577	    961
            578	    960
            579	    960
            580	    962
            581	    962
            582	    959
            583	    961
            584	    960
            585	    960
            586	    958
            587	    962
            588	    963
            589	    960
            590	    959
            591	    960
            592	    962
            593	    963
            594	    961
            595	    959
            596	    958
            597	    960
            598	    962
            599	    963
            600	    965
            601	    965
            602	    963
            603	    964
            604	    969
            605	    970
            606	    970
            607	    972
            608	    976
            609	    991
            610	   1023
            611	   1088
            612	   1178
            613	   1205
            614	   1137
            615	   1056
            616	   1021
            617	   1023
            618	   1027
            619	   1019
            620	   1009
            621	   1007
            622	   1007
            623	   1008
            624	   1007
            625	   1008
            626	   1005
            627	   1003
            628	   1002
            629	    998
            630	    995
            631	    987
            632	    985
            633	    982
            634	    977
            635	    971
            636	    963
            637	    952
            638	    942
            639	    932
            640	    922
            641	    905
            642	    885
            643	    871
            644	    858
            645	    851
            646	    840
            647	    831
            648	    825
            649	    821
            650	    815
            651	    814
            652	    817
            653	    819
            654	    815
            655	    815
            656	    816
            657	    820
            658	    823
            659	    830
            660	    838
            661	    842
            662	    850
            663	    863
            664	    877
            665	    887
            666	    898
            667	    907
            668	    915
            669	    925
            670	    932
            671	    939
            672	    944
            673	    947
            674	    947
            675	    949
            676	    955
            677	    957
            678	    961
            679	    962
            680	    959
            681	    962
            682	    965
            683	    967
            684	    966
            685	    967
            686	    968
            687	    970
            688	    979
            689	    987
            690	    988
            691	    989
            692	    989
            693	    990
            694	    997
            695	   1002
            696	   1006
            697	   1008
            698	   1007
            699	   1012
            700	   1011
            701	   1010
            702	   1008
            703	   1005
            704	   1003
            705	   1004
            706	   1003
            707	   1006
            708	   1006
            709	   1005
            710	   1004
            711	   1004
            712	   1008
            713	   1010
            714	   1009
            715	   1006
            716	   1004
            717	   1005
            718	   1007
            719	   1012
            720	   1014
            721	   1012
            722	   1013
            723	   1016
            724	   1018
            725	   1020
            726	   1021
            727	   1016
            728	   1014
            729	   1015
            730	   1018
            731	   1023
            732	   1023
            733	   1019
            734	   1018
            735	   1023
            736	   1024
            737	   1024
            738	   1027
            739	   1026
            740	   1023
            741	   1028
            742	   1030
            743	   1030
            744	   1036
            745	   1037
            746	   1030
            747	   1033
            748	   1035
            749	   1034
            750	   1034
            751	   1033
            752	   1029
            753	   1030
            754	   1031
            755	   1031
            756	   1030
            757	   1026
            758	   1024
            759	   1021
            760	   1025
            761	   1023
            762	   1020
            763	   1018
            764	   1013
            765	   1014
            766	   1011
            767	   1010
            768	   1005
            769	   1002
            770	    999
            771	   1000
            772	    998
            773	   1002
            774	   1001
            775	    999
            776	    993
            777	    992
            778	    990
            779	    989
            780	    988
            781	    986
            782	    984
            783	    983
            784	    985
            785	    986
            786	    986
            787	    984
            788	    984
            789	    983
            790	    983
            791	    986
            792	    984
            793	    985
            794	    982
            795	    979
            796	    979
            797	    980
            798	    979
            799	    971
            800	    970
            801	    973
            802	    976
            803	    977
            804	    975
            805	    974
            806	    971
            807	    972
            808	    969
            809	    971
            810	    973
            811	    973
            812	    969
            813	    973
            814	    973
            815	    972
            816	    972
            817	    970
            818	    970
            819	    970
            820	    972
            821	    971
            822	    969
            823	    968
            824	    964
            825	    966
            826	    966
            827	    967
            828	    967
            829	    964
            830	    960
            831	    965
            832	    966
            833	    966
            834	    964
            835	    961
            836	    960
            837	    961
            838	    962
            839	    963
            840	    963
            841	    960
            842	    960
            843	    960
            844	    963
            845	    964
            846	    963
            847	    961
            848	    960
            849	    959
            850	    957
            851	    958
            852	    958
            853	    960
            854	    958
            855	    958
            856	    961
            857	    959
            858	    959
            859	    958
            860	    957
            861	    959
            862	    961
            863	    962
            864	    961
            865	    959
            866	    955
            867	    954
            868	    956
            869	    958
            870	    959
            871	    959
            872	    958
            873	    956
            874	    957
            875	    959
            876	    959
            877	    959
            878	    957
            879	    956
            880	    958
            881	    960
            882	    962
            883	    960
            884	    957
            885	    958
            886	    960
            887	    961
            888	    966
            889	    962
            890	    961
            891	    964
            892	    968
            893	    970
            894	    973
            895	    979
            896	    991
            897	   1028
            898	   1113
            899	   1184
            900	   1156
            901	   1073
            902	   1020
            903	   1013
            904	   1021
            905	   1024
            906	   1018
            907	   1014
            908	   1008
            909	   1008
            910	   1010
            911	   1014
            912	   1011
            913	   1010
            914	   1005
            915	   1005
            916	   1003
            917	   1003
            918	   1004
            919	    996
            920	    989
            921	    982
            922	    975
            923	    968
            924	    959
            925	    947
            926	    929
            927	    911
            928	    894
            929	    884
            930	    874
            931	    859
            932	    845
            933	    835
            934	    830
            935	    826
            936	    825
            937	    822
            938	    817
            939	    818
            940	    816
            941	    823
            942	    822
            943	    826
            944	    827
            945	    834
            946	    845
            947	    858
            948	    873
            949	    879
            950	    887
            951	    897
            952	    912
            953	    921
            954	    933
            955	    936
            956	    941
            957	    946
            958	    951
            959	    955
            960	    956
            961	    959
            962	    958
            963	    964
            964	    963
            965	    965
            966	    966
            967	    963
            968	    961
            969	    962
            970	    964
            971	    966
            972	    970
            973	    973
            974	    974
            975	    980
            976	    981
            977	    984
            978	    986
            979	    989
            980	    985
            981	    990
            982	    991
            983	    992
            984	    994
            985	    991
            986	    991
            987	    994
            988	    995
            989	    997
            990	    996
            991	    997
            992	    994
            993	    997
            994	   1002
            995	   1002
            996	   1003
            997	   1002
            998	    999
            999	   1003
           1000	   1004
           1001	   1005
           1002	   1004
           1003	   1002
           1004	   1003
           1005	   1004
           1006	   1007
           1007	   1010
           1008	   1008
           1009	   1007
           1010	   1008
           1011	   1010
           1012	   1014
